iter	TotalF1	MultiClass
0	0.7081541177	1.068873469
1	0.6305468393	1.053377289
2	0.6559633677	1.026281828
3	0.7209980115	1.002541354
4	0.7313212215	0.9794647792
5	0.7335921122	0.9604087836
6	0.7395650649	0.9441135874
7	0.7381528136	0.92501157
8	0.7505883423	0.9065424249
9	0.7505883423	0.889070145
10	0.7758627825	0.8693830874
11	0.7692541026	0.8504240625
12	0.7565656434	0.8383730804
13	0.7782688109	0.8244561354
14	0.7791342132	0.8121236701
15	0.7830543118	0.7972600866
16	0.779568012	0.7889648029
17	0.790168585	0.7755918038
18	0.7865786796	0.7680846678
19	0.7842494688	0.7576452184
20	0.790168585	0.7474723059
21	0.7912148073	0.7380476965
22	0.7912148073	0.7297820214
23	0.7819126295	0.7214592622
24	0.779568012	0.7154140955
25	0.8041822522	0.704707638
26	0.8064917757	0.6945740672
27	0.8041822522	0.6883148731
28	0.8041822522	0.682325137
29	0.8064917757	0.67655779
30	0.8041822522	0.6685439253
31	0.8018655228	0.6614756722
32	0.8064917757	0.6553403373
33	0.8087942391	0.6523171631
34	0.8133785623	0.6478668566
35	0.8133785623	0.6439586789
36	0.8133785623	0.635616064
37	0.8133785623	0.6298866422
38	0.8110897868	0.6253216951
39	0.8156607076	0.620697857
40	0.8156607076	0.6155522366
41	0.8224687649	0.6093877833
42	0.8247257863	0.6035959067
43	0.8247257863	0.5987108062
44	0.8224687649	0.5951240065
45	0.8224687649	0.5921075166
46	0.8202056698	0.5885757117
47	0.8224687649	0.5841755366
48	0.8247257863	0.5801490051
49	0.8247257863	0.5777539882
50	0.8247257863	0.5738409773
51	0.8247257863	0.5701404935
52	0.8247257863	0.5691566974
53	0.8247257863	0.5657418705
54	0.8247257863	0.5626975432
55	0.8247257863	0.5612710426
56	0.8247257863	0.5577245879
57	0.8224687649	0.5544191393
58	0.8224687649	0.5517069512
59	0.8224687649	0.5495499016
60	0.8224687649	0.5472423942
61	0.8247257863	0.54424581
62	0.8247257863	0.5416041885
63	0.8247257863	0.5388186675
64	0.8269768702	0.5358473279
65	0.8247257863	0.5329658963
66	0.8269768702	0.5311522485
67	0.8269768702	0.5288039568
68	0.8269768702	0.5266440915
69	0.8269768702	0.5252731292
70	0.8269768702	0.5232014659
71	0.829222152	0.5219547526
72	0.829222152	0.5196207679
73	0.829222152	0.5177261776
74	0.831461766	0.5160637275
75	0.831461766	0.5132233694
76	0.831461766	0.5113215496
77	0.831461766	0.5091660555
78	0.829222152	0.5073678812
79	0.831461766	0.5056428599
80	0.829222152	0.5035451837
81	0.829222152	0.5014771739
82	0.829222152	0.4988424723
83	0.8269768702	0.4961588534
84	0.8269768702	0.4949294253
85	0.8269768702	0.4921421701
86	0.829222152	0.4899357709
87	0.8336958452	0.4879786009
88	0.829222152	0.4857846379
89	0.829222152	0.4849372479
90	0.831461766	0.4833090245
91	0.831461766	0.4821690572
92	0.829222152	0.4796676773
93	0.831461766	0.4788315463
94	0.831461766	0.4784190517
95	0.831461766	0.4768039405
96	0.831461766	0.4748969716
97	0.831461766	0.4735438918
98	0.831461766	0.4722213887
99	0.831461766	0.4704675029
100	0.831461766	0.4686760026
101	0.8336958452	0.4671051538
102	0.8336958452	0.4662726796
103	0.8336958452	0.4646929918
104	0.8336958452	0.4639690916
105	0.8336958452	0.4623564029
106	0.8336958452	0.4606922345
107	0.8336958452	0.4602096172
108	0.831461766	0.458524792
109	0.831461766	0.4570019383
110	0.8336958452	0.4554150362
111	0.8336958452	0.4542029582
112	0.8381479278	0.4521301575
113	0.8381479278	0.4511259838
114	0.8381479278	0.450065275
115	0.8403661929	0.4483645021
116	0.8381479278	0.4471402633
117	0.835924522	0.4451755955
118	0.835924522	0.443923118
119	0.835924522	0.4438665696
120	0.8381479278	0.4417432418
121	0.8381479278	0.439634811
