iter	Passed	Remaining
0	222	332782
1	236	177406
2	259	129650
3	284	106549
4	311	93021
5	323	80572
6	348	74294
7	375	69977
8	395	65472
9	419	62433
10	439	59454
11	458	56839
12	483	55308
13	512	54424
14	541	53597
15	569	52828
16	596	51997
17	624	51452
18	642	50087
19	656	48574
20	668	47108
21	687	46163
22	715	45916
23	726	44706
24	745	44002
25	771	43746
26	799	43638
27	826	43434
28	880	44651
29	906	44398
30	933	44228
31	960	44045
32	982	43661
33	995	42909
34	1016	42528
35	1029	41870
36	1056	41754
37	1090	41969
38	1119	41928
39	1155	42173
40	1183	42123
41	1211	42047
42	1238	41954
43	1265	41880
44	1297	41942
45	1321	41761
46	1341	41459
47	1365	41301
48	1389	41156
49	1412	40971
50	1437	40829
51	1460	40660
52	1468	40097
53	1491	39928
54	1515	39806
55	1539	39707
56	1564	39608
57	1588	39494
58	1612	39391
59	1633	39213
60	1658	39126
61	1682	39030
62	1705	38909
63	1731	38856
64	1756	38784
65	1781	38716
66	1806	38640
67	1830	38544
68	1853	38448
69	1879	38385
70	1902	38301
71	1930	38282
72	1954	38204
73	1977	38107
74	2000	38012
75	2024	37937
76	2048	37863
77	2073	37805
78	2098	37752
79	2153	38225
80	2179	38176
81	2203	38110
82	2228	38045
83	2253	37983
84	2281	37973
85	2307	37933
86	2332	37875
87	2356	37808
88	2382	37776
89	2406	37701
90	2430	37632
91	2454	37564
92	2479	37513
93	2494	37314
94	2507	37089
95	2530	37006
96	2557	36986
97	2581	36932
98	2606	36884
99	2632	36853
100	2657	36815
101	2685	36808
102	2709	36745
103	2733	36688
104	2745	36476
105	2768	36408
106	2793	36373
107	2818	36329
108	2843	36283
109	2866	36228
110	2889	36162
111	2916	36147
112	2938	36070
113	2962	36016
114	2985	35954
115	3008	35894
116	3032	35844
117	3057	35810
118	3081	35759
119	3091	35550
120	3118	35536
121	3144	35520
